,material_type,material_type_Kfold_Target_Enc
0,OPC Reguler,950.0391279933505
10,PCC,1017.2677926809232
13,OPC Premium,804.1593992895514
16,PCC Premium,848.261124648441
21,OWC,1837.7945192436275
62,Type V,1402.1575302349172
80,Maxstrength,1500.0
170,Putih,1150.578847252578
210,Duramax,1071.1475409836066
306,SBC,88853.7807514832
2087,Type II,1307.4246786908411
3360,PCC,1015.1169454670169
3361,OPC Reguler,1171.9257319255396
3393,Type II,1317.9132794122916
3430,OPC Premium,805.63712984455
3433,PCC Premium,851.8068406648097
3475,OWC,1826.9252679831025
3476,Type V,1409.0904432159207
3646,Duramax,1060.8955223880596
5505,SBC,79480.16138525285
6719,PCC Premium,851.9767771251929
6720,OPC Reguler,1174.3398572215685
6721,OPC Premium,803.7980738896156
6746,SBC,82530.53773285482
6774,Type V,1389.3144669793098
6809,PCC,1023.9303675446639
6851,OWC,1806.1185802695404
7097,Duramax,1072.8333333333333
7367,Type II,1320.3122069927279
7920,Maxstrength,841.5
10078,OPC Reguler,1170.1384827113989
10079,PCC Premium,857.9397101479905
10080,PCC,1010.9429222308019
10082,OPC Premium,806.1481564397403
10099,OWC,1829.5722537095908
10105,Type V,1407.8533836610072
10164,Duramax,1075.2830188679245
10294,PPC,1736.0
10526,Type II,1305.4992242653643
10717,SBC,88902.0
13437,OPC Reguler,1163.577623884804
13439,Type V,1384.4184392415766
13451,PCC Premium,854.5632421745933
13463,PCC,997.5489987766956
13561,OPC Premium,805.0793636372274
13564,Duramax,988.0
13587,Type II,1369.1495714285713
13667,OWC,1890.1038456407314
13877,SBC,1075.352547669621
14342,PPC,1604.4
